Loaded dataset with 291742 molecules from pretraining_data/drugs
epoch 002 step 01800/4559 ( 39.5%) lr 4.18684e-05
epoch 002 step 01850/4559 ( 40.6%) lr 4.21842e-05
epoch 002 step 01900/4559 ( 41.7%) lr 4.25263e-05
epoch 002 step 01950/4559 ( 42.8%) lr 4.28421e-05
epoch 002 step 02000/4559 ( 43.9%) lr 4.31842e-05
epoch 002 step 02050/4559 ( 45.0%) lr 4.35e-05
epoch 002 step 02100/4559 ( 46.1%) lr 4.38421e-05
epoch 002 step 02150/4559 ( 47.2%) lr 4.41579e-05
epoch 002 step 02200/4559 ( 48.3%) lr 4.45e-05
epoch 002 step 02250/4559 ( 49.4%) lr 4.48158e-05
epoch 002 step 02300/4559 ( 50.4%) lr 4.51579e-05
epoch 002 step 02350/4559 ( 51.5%) lr 4.54737e-05
epoch 002 step 02400/4559 ( 52.6%) lr 4.58158e-05
epoch 002 step 02450/4559 ( 53.7%) lr 4.61316e-05
epoch 002 step 02500/4559 ( 54.8%) lr 4.64737e-05
epoch 002 step 02550/4559 ( 55.9%) lr 4.67895e-05
epoch 002 step 02600/4559 ( 57.0%) lr 4.71316e-05
epoch 002 step 02650/4559 ( 58.1%) lr 4.74474e-05
epoch 002 step 02700/4559 ( 59.2%) lr 4.77895e-05
epoch 002 step 02750/4559 ( 60.3%) lr 4.81053e-05
epoch 002 step 02800/4559 ( 61.4%) lr 4.84474e-05
epoch 002 step 02850/4559 ( 62.5%) lr 4.87632e-05
epoch 002 step 02900/4559 ( 63.6%) lr 4.91053e-05
epoch 002 step 02950/4559 ( 64.7%) lr 4.94211e-05
epoch 002 step 03000/4559 ( 65.8%) lr 4.97632e-05
epoch 002 step 03050/4559 ( 66.9%) lr 5.00789e-05
epoch 002 step 03100/4559 ( 68.0%) lr 5.04211e-05
epoch 002 step 03150/4559 ( 69.1%) lr 5.07368e-05
epoch 002 step 03200/4559 ( 70.2%) lr 5.10789e-05
epoch 002 step 03250/4559 ( 71.3%) lr 5.13947e-05
epoch 002 step 03300/4559 ( 72.4%) lr 5.17368e-05
epoch 002 step 03350/4559 ( 73.5%) lr 5.20526e-05
epoch 002 step 03400/4559 ( 74.6%) lr 5.23947e-05
epoch 002 step 03450/4559 ( 75.7%) lr 5.27105e-05
epoch 002 step 03500/4559 ( 76.8%) lr 5.30526e-05
epoch 002 step 03550/4559 ( 77.9%) lr 5.33684e-05
epoch 002 step 03600/4559 ( 79.0%) lr 5.37105e-05
epoch 002 step 03650/4559 ( 80.1%) lr 5.40263e-05
epoch 002 step 03700/4559 ( 81.2%) lr 5.43684e-05
epoch 002 step 03750/4559 ( 82.3%) lr 5.46842e-05
epoch 002 step 03800/4559 ( 83.4%) lr 5.50263e-05
epoch 002 step 03850/4559 ( 84.4%) lr 5.53421e-05
epoch 002 step 03900/4559 ( 85.5%) lr 5.56842e-05
epoch 002 step 03950/4559 ( 86.6%) lr 5.6e-05
